ObjID,FORMAT,a,e,inc,node,argPeri,ma,epochMJD_TDB
2014QN441,KEP,46.7,0.29,20.7,145.0,243.0,12.0,60676.0
2013SJ112,KEP,44.1,0.00979,3.84,95.9,325.0,318.0,60676.0
2014WD602,KEP,43.4,0.227,39.0,47.0,242.0,45.8,60676.0
90377,KEP,542.0,0.859,11.9,144.0,311.0,359.0,60676.0
c0,KEP,27.41,0.3374,31.62,172.9,301.5,195.8,60676.0
c1,KEP,26.811,0.3289,31.86,172.7,301.3,97.6,60676.0
c2,KEP,27.143,0.3324,31.93,172.6,301.8,156.4,60676.0
c3,KEP,26.213,0.318,32.19,172.7,300.8,58.1,60676.0
1221,KEP,1.92,0.436,11.9,171.0,26.6,124.0,60676.0
719,KEP,2.64,0.547,11.6,184.0,156.0,56.3,60676.0
7,KEP,2.39,0.23,5.52,259.0,145.0,208.0,60676.0
4,KEP,2.36,0.0894,7.14,104.0,152.0,169.0,60676.0
